keyword,category,title,price,extracted_price,raw_price,rating,reviews,platform,position,delivery,link,thumbnail,installment_price,installment_months,currency
iphone,mobile,Apple - iPhone 17e 256GB - Black (Verizon),$16.66/mo,16.66,16.66,4.7,1800.0,Best Buy,21,Free delivery by Sat,"https://www.google.com/search?ibp=oshop&q=iphone&prds=productid:9464482762925663591,headlineOfferDocid:9464482762925663591,imageDocid:7513493801429701181,rds:PC_15096775703250617709|PROD_PC_15096775703250617709,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRFiCL35tnRi1Vs-M0REb6odtFAirui-EfQEJSOjXQmvPMoVKGvXanPEgAuaD6yH6FeB16DclMdeG3KbMO3kaEEjWhyj3XZ4D0wq1sVro-xwzM7DEcrCjt-_g,16.66,36.0,USD
iphone,mobile,Apple iPhone 8,$81.99,81.99,81.99,4.3,30000.0,Back Market,22,,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:830737816400496933,productid:2304645374163698333,headlineOfferDocid:8873307520622304927,imageDocid:447323955231849713,rds:PC_13368511492336631680|PROD_PC_13368511492336631680,gpcid:13368511492336631680,mid:576462864015586278,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRFXKBPDrHcJZ69gHs_iVH2SBpkunsUlqxG02lmb9Vj0t1E4eeEKg-dadzcuOIeVvfIoci_EptmkTbdseg4QYcKPfw5TxDcFgNfjnj3Y6w,,,USD
iphone,mobile,Apple iPhone 16 Pro,$30.53 now,30.53,30.53,4.6,18000.0,Viaero Wireless,23,Free delivery,"https://www.google.com/search?ibp=oshop&q=iphone&prds=productid:7206356333606194892,headlineOfferDocid:7206356333606194892,imageDocid:9514825859546782912,rds:PC_10943350843658421229|PROD_PC_10943350843658421229,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQOvoZrrIqs6siIcBKI7rKoBaqUsk_T1Sg0pDsHSiLY5anEdyvwiBQANzSozeWyJYUyRqooChf1IKZWbN8kUVBzMgiLqET7m0b0oDge1cXhfXiTZT-bdt_G,30.53,36.0,USD
iphone,mobile,iPhone 12 - 64GB - Blue - Unlocked,$172.49,172.49,172.49,4.3,48000.0,Reebelo USA,24,Free delivery by Tue,"https://www.google.com/search?ibp=oshop&q=iphone&prds=productid:16761353740138022590,headlineOfferDocid:16761353740138022590,imageDocid:6989118407544208556,rds:PC_435984501635772740|PROD_PC_435984501635772740,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSeMBwUntOx1MZLJWzm3oztdBl-EVU1c5BU52PUD7yqhlo1giePv20Vf9egbbzxkfrP2YO35k4mKIVs9C6zFOiYoD31gJtoJA,,,USD
iphone,mobile,Apple iPhone 13 Pro,$395.67,395.67,395.67,4.4,15000.0,Back Market,25,,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:2934452686125445599,productid:12103109595313452912,headlineOfferDocid:16885855172441775145,imageDocid:2487602393966496277,rds:PC_8623544612196710249|PROD_PC_8623544612196710249,gpcid:8623544612196710249,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTDeB3COFsRUlRGQT6F46ZLpw-2cJ4aKkR808O2oBR0UYJ_vzLhao_PpUlCVIKdk9EDOfbEPPjZUGAVYuwVdJhNf3Jwpwhjoh9Obsz6ObI2jNRpLmPJ406Zq_0,,,USD
iphone,mobile,Apple iPhone 7,$64.68,64.68,64.68,4.3,37000.0,Walmart - UPGRADE SOLUTION INC,26,Free delivery,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:5308272542745210393,productid:4992135472943780035,headlineOfferDocid:1778305914684616777,imageDocid:15876698964194469430,rds:PC_6142244829115239135|PROD_PC_6142244829115239135,gpcid:6142244829115239135,mid:576462235285926155,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRj4GZZgAxMxRJA3TGqxlKag91_F3okkl4PV6Ql-BFjg0ZeFyymm4sH51xtmkg961Km3NhGBUfyOavHNoCXnRioW1Iu1_A9KQ,,,USD
iphone,mobile,Apple - iPhone 17e 512GB - White (Verizon),$22.22/mo,22.22,22.22,4.7,1800.0,Best Buy,27,Free delivery by Tue,"https://www.google.com/search?ibp=oshop&q=iphone&prds=productid:15623475752933431592,headlineOfferDocid:15623475752933431592,imageDocid:8486562325384046127,rds:PC_15096775703250617709|PROD_PC_15096775703250617709,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS9yQl1t8LPdP_g5Uyw5gZxG16wq_LWctmiK3TMoBo6dk_tgMy9knF50ePkah6s85nhTb9z6u6hOqy9ewH1xGd6yvxT2Dq_F9kDGigj5u5TvFfIBd0f3_WVv78,22.22,36.0,USD
iphone,mobile,Apple iPhone 12 Pro Max,$349.00,349.0,349.0,4.4,15000.0,Back Market,28,,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:15982563268370664381,productid:8308681321948518937,headlineOfferDocid:981926286714689136,imageDocid:16873693813430388599,rds:PC_7453357062207114878|PROD_PC_7453357062207114878,gpcid:7453357062207114878,mid:576462821003197463,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSlrPzEzpumlQB7o6Y2HQ2ftupyrZe_M7Yc2qupVMjZc5tk1_Rlh_Ol2tRzFQsFa5KkrXssrT7WJKzWgUq2pbsIg7moeGeNA0ZA0Lh3graWA8UtSCXS0m6M,,,USD
iphone,mobile,Apple Iphone 14 128gb Network Unlocked Very Good Condition,$303.99,303.99,303.99,4.5,48000.0,eBay - directauth,29,Free delivery by Mon,"https://www.google.com/search?ibp=oshop&q=iphone&prds=productid:10599196601456471224,headlineOfferDocid:10599196601456471224,imageDocid:2017956349774460894,rds:PC_8053804293482199477|PROD_PC_8053804293482199477,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT0Rlr7OK0wLsKDBb7K7kW8kGgIAhmix71Nu5j_N_G6rVpkhZdBBIFWUoaFwz9N_BhqefEs9k0ftxGmyDenSPcm1wbt7QSZFRBD0h1i7AMHwceNRaGSThhh,,,USD
iphone,mobile,Apple Iphone 16e,$16.64 now,16.64,16.64,,,Viaero Wireless,30,Free delivery,"https://www.google.com/search?ibp=oshop&q=iphone&prds=productid:17675550675919624688,headlineOfferDocid:17675550675919624688,imageDocid:1898917817998893320,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRG0mOwBlh51Htk8nYqoYITWiRT5DxSoEyMZKGdtu0u0ctW3yOehyAFdhTEmyI3gBuyM6_LNz2XF1ftVZtOXKespMqQVfScknQT32eni9f-Dqv5V0_pieXVaw,16.64,36.0,USD
iphone,mobile,Apple Iphone XS,$132.47,132.47,132.47,4.5,15000.0,Walmart - Wireless Source,31,Free delivery,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:4485466949985702538,productid:14335253671845480120,headlineOfferDocid:13153900817725700996,imageDocid:9514305120103917430,rds:PC_6811745323585508222|PROD_PC_6811745323585508222,gpcid:6811745323585508222,mid:576462311032611740,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTbQO9OC1srqFae0wzMp0N4eTIFaWzAgEq8jfh_8LdJ3cvL1lqEBzksyUtSYc6eL0mR64qTW8aWa1SBkaIJmcCQ1ljryjNfXQ,,,USD
iphone,mobile,iPhone 15 256GB - Black - Unlocked,$403.40,403.4,403.4,4.7,54000.0,Back Market,32,,"https://www.google.com/search?ibp=oshop&q=iphone&prds=productid:14517608025617185563,headlineOfferDocid:14517608025617185563,imageDocid:7724578898268109658,rds:PC_6601648695432433635|PROD_PC_6601648695432433635,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcS_oKfANZpJVvBpKnhoYO28jaZ3twY5kk6ogSOcltBOsxNkMqHbn0R4Epd3TQ7mXhzF3ug7zgcHGs_bH9pCWcYjJYVCyex9-WqNukl1EkpERh6z2kciklCS,,,USD
iphone,mobile,Apple - Refurbished Excellent - iPhone 14 Pro Max (A2651) 128GB 6.7-inch (2022) - Unlocked - Gold,$560.84,560.84,560.84,4.4,23000.0,Best Buy,33,,"https://www.google.com/search?ibp=oshop&q=iphone&prds=productid:17003653396474120581,headlineOfferDocid:17003653396474120581,imageDocid:6130589411317785890,rds:PC_8672923537105206374|PROD_PC_8672923537105206374,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQrw8Fd41Ld0OXKX0611eNHSe29MzWvJ7O424ES5-diicYQCkaHD4NbvtnOfNdXHszBlpd0Vx64Wg0tJjY9UcV3tZA3JNlbqLmucMrrCs_5,,,USD
iphone,mobile,iPhone 13 - 256GB - Pink - Unlocked,$295.99,295.99,295.99,4.6,83000.0,Reebelo USA,34,Free delivery by Tue,"https://www.google.com/search?ibp=oshop&q=iphone&prds=productid:16668264476468362941,headlineOfferDocid:16668264476468362941,imageDocid:12478352040978757473,rds:PC_8971650804785857268|PROD_PC_8971650804785857268,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSHISc-EgSStoiLRNMzVf8zrzHW2eW3_JRRMz3OWysXr4j_7Zi4cSbhCexImC462G71i5HkVp5DQr_IC6Qh8yhOWQPqorlX,,,USD
